example_id                                                       | status  | run_time        |
./spec/matchers/one_liner_syntax_spec.rb[1:3]                    | passed  | 0.00111 seconds |
./spec/matchers/output_stout_sterr_spec.rb[1:1:1]                | passed  | 0.00007 seconds |
./spec/matchers/output_stout_sterr_spec.rb[1:1:2]                | passed  | 0.00006 seconds |
./spec/matchers/output_stout_sterr_spec.rb[1:2:1]                | passed  | 0.00063 seconds |
./spec/matchers/output_stout_sterr_spec.rb[1:2:2]                | passed  | 0.00008 seconds |
./spec/matchers/predicate_spec.rb[1:1:1]                         | passed  | 0.00012 seconds |
./spec/matchers/predicate_spec.rb[1:1:2]                         | passed  | 0.00009 seconds |
./spec/matchers/predicate_spec.rb[1:2:1]                         | passed  | 0.00155 seconds |
./spec/matchers/predicate_spec.rb[1:2:2]                         | passed  | 0.00012 seconds |
./spec/matchers/predicate_spec.rb[1:3:1]                         | passed  | 0.00019 seconds |
./spec/matchers/predicate_spec.rb[1:3:2]                         | passed  | 0.00026 seconds |
./spec/matchers/ranges_spec.rb[1:1:1]                            | passed  | 0.00039 seconds |
./spec/matchers/ranges_spec.rb[1:1:2]                            | passed  | 0.01229 seconds |
./spec/matchers/ranges_spec.rb[1:2:1]                            | passed  | 0.00043 seconds |
./spec/matchers/ranges_spec.rb[1:2:2]                            | passed  | 0.00076 seconds |
./spec/matchers/regex_spec.rb[1:1]                               | passed  | 0.00082 seconds |
./spec/matchers/regex_spec.rb[1:2]                               | passed  | 0.00171 seconds |
./spec/matchers/regex_spec.rb[1:3]                               | passed  | 0.01609 seconds |
./spec/matchers/satisfy_spec.rb[1:1:1]                           | passed  | 0.00011 seconds |
./spec/matchers/satisfy_spec.rb[1:1:2]                           | passed  | 0.00011 seconds |
./spec/matchers/satisfy_spec.rb[1:1:3]                           | passed  | 0.00008 seconds |
./spec/matchers/satisfy_spec.rb[1:1:4]                           | passed  | 0.00009 seconds |
./spec/matchers/satisfy_spec.rb[1:2:1]                           | passed  | 0.00044 seconds |
./spec/matchers/satisfy_spec.rb[1:2:2]                           | passed  | 0.01816 seconds |
./spec/matchers/shared_examples_spec.rb[1:1:1]                   | passed  | 0.00027 seconds |
./spec/matchers/shared_examples_spec.rb[1:1:2]                   | passed  | 0.00008 seconds |
./spec/matchers/shared_examples_spec.rb[1:2:1:1]                 | passed  | 0.00063 seconds |
./spec/matchers/shared_examples_spec.rb[1:2:2:1]                 | passed  | 0.00058 seconds |
./spec/matchers/shared_examples_spec.rb[1:3:1:1]                 | passed  | 0.00011 seconds |
./spec/matchers/shared_examples_spec.rb[1:3:2:1]                 | passed  | 0.00006 seconds |
./spec/matchers/start_end_with_spec.rb[1:1]                      | passed  | 0.00004 seconds |
./spec/matchers/start_end_with_spec.rb[1:2]                      | passed  | 0.00005 seconds |
./spec/matchers/start_end_with_spec.rb[1:3]                      | passed  | 0.00091 seconds |
./spec/matchers/start_end_with_spec.rb[1:4]                      | passed  | 0.00006 seconds |
./spec/matchers/stub/dynamic_arguments_any_instance_spec.rb[1:1] | passed  | 0.00028 seconds |
./spec/matchers/stub/dynamic_arguments_any_instance_spec.rb[1:2] | passed  | 0.00074 seconds |
./spec/matchers/stub/dynamic_arguments_any_instance_spec.rb[1:3] | passed  | 0.00076 seconds |
./spec/matchers/stub/dynamic_arguments_any_instance_spec.rb[1:4] | passed  | 0.0052 seconds  |
./spec/matchers/stub/payment_gateway_spec.rb[1:1]                | passed  | 0.00665 seconds |
./spec/matchers/stub/student_course_stub_spec.rb[1:1]            | passed  | 0.00436 seconds |
./spec/matchers/tag_filtes_spec.rb[1:1]                          | passed  | 0.00038 seconds |
./spec/matchers/tag_filtes_spec.rb[1:2]                          | passed  | 0.00035 seconds |
./spec/matchers/tag_filtes_spec.rb[1:3]                          | unknown |                 |
./spec/matchers/tag_filtes_spec.rb[1:4]                          | unknown |                 |
./spec/matchers/truthiness_spec.rb[1:1]                          | unknown |                 |
./spec/matchers/truthiness_spec.rb[1:2]                          | unknown |                 |
./spec/matchers/truthiness_spec.rb[1:3]                          | unknown |                 |
./spec/matchers/truthiness_spec.rb[1:4]                          | unknown |                 |
